
;x/y-Pos: -104.75/-266
;Delays 1/Aqu/3/4/dead: 0.4/0.0999936/0/1E-5/0
;Slew Rate Bias/Topo: Infinity/Infinity
;CntAverage/SNR: 1/1e10
time	dz	Bias	df	It_to_PC
+6.899560E+000	+8.031508E-001	-1.000000E+002	-2.402888E+000	-4.199617E-012
+6.999553E+000	+8.149607E-001	-1.000000E+002	-2.395903E+000	-4.234816E-012
+7.099547E+000	+8.267749E-001	-1.000000E+002	-2.349335E+000	-4.182568E-012
+7.199541E+000	+8.385849E-001	-1.000000E+002	-2.351664E+000	-4.172202E-012
+7.299534E+000	+8.503949E-001	-1.000000E+002	-2.337694E+000	-4.140976E-012
+7.399528E+000	+8.622049E-001	-1.000000E+002	-2.419187E+000	-4.150272E-012
+7.499522E+000	+8.740191E-001	-1.000000E+002	-2.319066E+000	-4.240213E-012
+7.599515E+000	+8.858291E-001	-1.000000E+002	-2.197991E+000	-4.247008E-012
+7.699509E+000	+8.976391E-001	-1.000000E+002	-2.307425E+000	-4.286880E-012
+7.799502E+000	+9.094491E-001	-1.000000E+002	-2.237573E+000	-4.317688E-012
+7.899496E+000	+9.212632E-001	-1.000000E+002	-2.298111E+000	-4.217124E-012
+7.999490E+000	+9.330732E-001	-1.000000E+002	-2.321395E+000	-4.290611E-012
+8.099483E+000	+9.448832E-001	-1.000000E+002	-2.272499E+000	-4.383704E-012
+8.199477E+000	+9.566932E-001	-1.000000E+002	-2.319066E+000	-4.249887E-012
+8.299471E+000	+9.685074E-001	-1.000000E+002	-2.263185E+000	-4.332598E-012
+8.399464E+000	+9.803174E-001	-1.000000E+002	-2.270171E+000	-4.285673E-012
+8.499458E+000	+9.921274E-001	-1.000000E+002	-2.267842E+000	-4.274479E-012
+8.599451E+000	+1.003937E+000	-1.000000E+002	-2.302768E+000	-4.209718E-012
+8.699445E+000	+1.015752E+000	-1.000000E+002	-2.284141E+000	-4.165801E-012
+8.799439E+000	+1.027562E+000	-1.000000E+002	-2.244558E+000	-4.109235E-012
+8.899432E+000	+1.039372E+000	-1.000000E+002	-2.281812E+000	-4.074341E-012
+8.999426E+000	+1.051182E+000	-1.000000E+002	-2.409873E+000	-3.957943E-012
+9.099420E+000	+1.062996E+000	-1.000000E+002	-2.228260E+000	-3.992772E-012
+9.199413E+000	+1.074806E+000	-1.000000E+002	-2.307425E+000	-4.076142E-012
+9.299407E+000	+1.086616E+000	-1.000000E+002	-2.277156E+000	-4.056432E-012
+9.399400E+000	+1.098426E+000	-1.000000E+002	-2.218946E+000	-3.945414E-012
+9.499394E+000	+1.110240E+000	-1.000000E+002	-2.293454E+000	-3.971381E-012
+9.599388E+000	+1.122050E+000	-1.000000E+002	-2.307425E+000	-3.901191E-012
+9.699381E+000	+1.133860E+000	-1.000000E+002	-2.298111E+000	-3.937307E-012
+9.799375E+000	+1.145670E+000	-1.000000E+002	-2.237573E+000	-3.907360E-012
+9.899368E+000	+1.157484E+000	-1.000000E+002	-2.221275E+000	-4.025318E-012
+9.999362E+000	+1.169294E+000	-1.000000E+002	-2.246887E+000	-4.038892E-012
+1.009936E+001	+1.181104E+000	-1.000000E+002	-2.351664E+000	-4.054172E-012
+1.019935E+001	+1.192914E+000	-1.000000E+002	-2.263185E+000	-4.077453E-012
+1.029934E+001	+1.204728E+000	-1.000000E+002	-2.244558E+000	-4.094438E-012
+1.039934E+001	+1.216538E+000	-1.000000E+002	-2.263185E+000	-4.100606E-012
+1.049933E+001	+1.228348E+000	-1.000000E+002	-2.197991E+000	-4.106026E-012
+1.059932E+001	+1.240158E+000	-1.000000E+002	-2.184020E+000	-4.028864E-012
+1.069932E+001	+1.251972E+000	-1.000000E+002	-2.225931E+000	-4.033802E-012
+1.079931E+001	+1.263782E+000	-1.000000E+002	-2.137453E+000	-3.944778E-012
+1.089930E+001	+1.275592E+000	-1.000000E+002	-2.193334E+000	-3.967087E-012
+1.099930E+001	+1.287402E+000	-1.000000E+002	-2.216618E+000	-4.010424E-012
+1.109929E+001	+1.299217E+000	-1.000000E+002	-2.230588E+000	-3.957195E-012
+1.119929E+001	+1.311027E+000	-1.000000E+002	-2.179364E+000	-3.867496E-012
+1.129928E+001	+1.322837E+000	-1.000000E+002	-2.256200E+000	-3.851268E-012
+1.139927E+001	+1.334647E+000	-1.000000E+002	-2.211961E+000	-3.848397E-012
+1.149927E+001	+1.346461E+000	-1.000000E+002	-2.188677E+000	-3.938112E-012
+1.159926E+001	+1.358271E+000	-1.000000E+002	-2.146766E+000	-4.004658E-012
+1.169925E+001	+1.370081E+000	-1.000000E+002	-2.263185E+000	-3.977364E-012
+1.179925E+001	+1.381891E+000	-1.000000E+002	-2.207304E+000	-3.972225E-012
+1.189924E+001	+1.393705E+000	-1.000000E+002	-2.284141E+000	-3.981136E-012
+1.199923E+001	+1.405515E+000	-1.000000E+002	-2.184020E+000	-3.990472E-012
+1.209923E+001	+1.417325E+000	-1.000000E+002	-2.258529E+000	-3.985253E-012
+1.219922E+001	+1.429135E+000	-1.000000E+002	-2.069930E+000	-4.014542E-012
+1.229922E+001	+1.440945E+000	-1.000000E+002	-2.177035E+000	-4.047706E-012
+1.239921E+001	+1.452759E+000	-1.000000E+002	-2.095542E+000	-4.092765E-012
+1.249920E+001	+1.464569E+000	-1.000000E+002	-2.121154E+000	-4.127264E-012
+1.259920E+001	+1.476379E+000	-1.000000E+002	-2.116497E+000	-4.201435E-012
+1.269919E+001	+1.488189E+000	-1.000000E+002	-2.181692E+000	-4.145367E-012
+1.279918E+001	+1.500003E+000	-1.000000E+002	-2.232916E+000	-4.120582E-012
